NAME    DB      $00,$00,$F8,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE
        DB      $FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$FE,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$03,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$03,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$03,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$03,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$02,$04,$05,$06,$07,$06,$08,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$03,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$09,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$03,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$0F,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$10,$11,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$0F,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$02,$02,$02,$02,$12,$13,$14,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$0F,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$15,$16,$17,$02,$18,$19,$14,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$0F,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$1A,$1B,$1C,$02,$18,$19,$14,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$0F,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$1A,$1B,$1C,$02,$18,$19,$14,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$0F,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$02,$02,$02,$02,$1A,$1B,$1C,$02,$18,$19,$14,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$0F,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$1D,$1E,$02,$02,$1A,$1B,$1C,$02,$18,$19,$14,$F9,$00,$00
        DB      $00,$00,$F8,$01,$02,$02,$0F,$0A,$0B,$0C,$0D,$0C,$0E,$02,$02,$02
        DB      $02,$02,$1F,$20,$02,$02,$1A,$1B,$1C,$02,$18,$19,$14,$F9,$00,$00
        DB      $00,$00,$F8,$21,$22,$22,$23,$24,$0B,$0C,$0D,$0C,$25,$26,$27,$28
